location_id,location_name_primary,location_name_secondary,location_detail,location_blockface_elmntkey,location_sidewalk_compkey,location_transit_stop_present,location_neighborhood_type,location_neighborhood,location_character,location_line_typology_vehicular,location_area_typology,location_area_typology_subcategory,location_total_sqft,location_average_number_commercial_seats,location_average_number_public_seats,location_country,location_region,location_city,location_notes
UQA2,QUEEN ANNE AVE N,BETWEEN BLAINE ST AND HOWE ST,W,57617,‎302410,None,Residential Urban Village,Upper Queen Anne,Commercial,Urban Village Neighborhood,Street,Block face,5731.17,0,6,United States of America,Washington,Seattle,
WAL1,N 45TH ST,BETWEEN DENSMORE E AVE N AND WALLINGFORD AVE N,N,60877,‎296341,None,Residential Urban Village,Wallingford,Commercial,Urban Village Neighborhood,Street,Block face,2262.22,0,4,United States of America,Washington,Seattle,
WAL2,N 45TH ST,BETWEEN DENSMORE E AVE N AND WALLINGFORD AVE N,S,60878,‎296340,None,Residential Urban Village,Wallingford,Commercial,Urban Village Neighborhood,Street,Block face,2828.16,0,9,United States of America,Washington,Seattle,
WAL3,N 45TH ST,BETWEEN BURKE AVE N AND MERIDIAN AVE N,S,83466,‎296336,None,Residential Urban Village,Wallingford,Commercial,Urban Village Neighborhood,Street,Block face,3531.37,0,2,United States of America,Washington,Seattle,
WAL4,N 45TH ST,BETWEEN WOODLAWN AVE N AND DENSMORE AVE N,N,60873,‎296287,None,Residential Urban Village,Wallingford,Commercial,Urban Village Neighborhood,Street,Block face,3058.6,0,2,United States of America,Washington,Seattle,
WED1,35TH AVE NE,BETWEEN NE 86TH ST AND NE 87TH ST,W,28205,‎291434,None,Outside,Wedgwood,Commercial,Urban Center Connector,Street,Block face,2963.27,0,8,United States of America,Washington,Seattle,
WED2,35TH AVE NE,BETWEEN NE 85TH ST AND NE 86TH ST,W,5377,‎291436,None,Outside,Wedgwood,Commercial,Urban Center Connector,Street,Block face,3530.72,12,0,United States of America,Washington,Seattle,
WES1,CALIFORNIA AVE SW,BETWEEN SW OREGON ST AND SW ALASKA ST,E (SW Alaska St north to midblock crosswalk),32342,‎326187,None,Hub Urban Village,West Seattle Junction,Commercial,Urban Village Neighborhood,Street,Block face,3136.05,0,5,United States of America,Washington,Seattle,
WES2,CALIFORNIA AVE SW,BETWEEN SW OREGON ST AND SW ALASKA ST,E (SW Oregon St south to midblock crosswalk),32342,‎326187,None,Hub Urban Village,West Seattle Junction,Commercial,Urban Village Neighborhood,Street,Block face,2327.13,0,4,United States of America,Washington,Seattle,
WES3,CALIFORNIA AVE SW,BETWEEN SW OREGON ST AND SW ALASKA ST,W (SW Alaska St north to midblock crosswalk),32341,‎327801,None,Hub Urban Village,West Seattle Junction,Commercial,Urban Village Neighborhood,Street,Block face,3697.94,0,9,United States of America,Washington,Seattle,
WES4,CALIFORNIA AVE SW,BETWEEN SW OREGON ST AND SW ALASKA ST,W (SW Oregon St south to midblock crosswalk),32341,‎327801,None,Hub Urban Village,West Seattle Junction,Commercial,Urban Village Neighborhood,Street,Block face,2726.85,0,0,United States of America,Washington,Seattle,
WHP1,DELRIDGE WAY SW,BETWEEN 17TH AVE SW AND SW ROXBURY ST,SW,77910,‎321417,None,Residential Urban Village,Westwood - Highland Park,Commercial,Urban Village Main,Street,Block face,5541.77,0,0,United States of America,Washington,Seattle,
WHP2,DELRIDGE WAY SW,BETWEEN 17TH AVE SW AND SW ROXBURY ST,NE,77909,‎321418,None,Residential Urban Village,Westwood - Highland Park,Commercial,Urban Village Main,Street,Block face,5340.98,0,0,United States of America,Washington,Seattle,
